train_loss,train_accuracy,val_loss,val_accuracy
0.5627895331382752,0.59875,0.37758665323257445,0.435
0.3601662038053785,0.4467857142857143,0.3163136965036392,0.52125
0.3202152058907918,0.5569642857142857,0.2973517394065857,0.6225
0.29543258249759674,0.6394642857142857,0.2919966444373131,0.656875
0.28093682595661706,0.6844642857142857,0.29143261551856997,0.66
0.27043736611093794,0.7160714285714286,0.28271270185709,0.683125
0.26126133493014747,0.7382142857142857,0.2806302589178085,0.723125
0.2529526356288365,0.7585714285714286,0.27635541558265686,0.746875
0.2456354763678142,0.7841071428571429,0.2816061589121819,0.725
0.23984964736870357,0.7916071428571428,0.27841028779745103,0.73625
0.23763073597635542,0.7976785714285715,0.27658279359340665,0.741875
0.22947123340197972,0.8148214285714286,0.2754702264070511,0.73625
0.2275567213978086,0.8142857142857143,0.2712762662768364,0.7675
0.22467933475971222,0.82875,0.2765930935740471,0.75125
0.21937637507915497,0.835,0.27925624936819077,0.77
0.22067954071930476,0.8285714285714286,0.2730991968512535,0.77375
0.21127559559685843,0.8507142857142858,0.2787441608309746,0.769375
0.217634514101914,0.8444642857142857,0.27186706751585005,0.781875
0.20904759781701224,0.8530357142857142,0.29027897357940674,0.770625
0.20038121053150723,0.8633928571428572,0.26998707026243207,0.80625
0.20013676928622381,0.8735714285714286,0.27267113119363784,0.78625
0.2027730991584914,0.8710714285714286,0.27323644787073137,0.8075
0.19971463352441787,0.8660714285714286,0.2687301614880562,0.798125
0.1894005006125995,0.8851785714285715,0.274724688231945,0.81125
0.19385819349970138,0.8825,0.27664474785327914,0.788125
0.19277490939412797,0.8857142857142857,0.2835465466976166,0.788125
0.1899438678792545,0.8891071428571429,0.28352074831724167,0.80375
0.18865198633500507,0.8875,0.2733506891131401,0.79875
0.18819677599838802,0.89375,0.2823494291305542,0.806875
0.18167603373527527,0.89875,0.28863319993019104,0.81375
0.1805903998017311,0.8978571428571429,0.28416587293148043,0.80875
0.18055984850440707,0.8942857142857142,0.288495115339756,0.803125
0.17817406398909433,0.8994642857142857,0.2912770077586174,0.79
0.17681311743600028,0.9051785714285714,0.2867340004444122,0.81375
0.17470824692930495,0.9078571428571428,0.284081703722477,0.811875
0.17049346800361362,0.9173214285714286,0.2798225024342537,0.815625
0.1717922909770693,0.9067857142857143,0.283928407728672,0.819375
0.16428549323763167,0.9228571428571428,0.28690101146698,0.80875
0.16993714894567216,0.9103571428571429,0.29340692579746247,0.816875
0.16651963084936142,0.9173214285714286,0.28877587884664535,0.815625
0.1616756498813629,0.9260714285714285,0.2867954170703888,0.815625
0.16119672243084227,0.9167857142857143,0.29773497581481934,0.814375
0.1617906991498811,0.9196428571428571,0.29079280167818067,0.820625
0.1634620261192322,0.9128571428571428,0.2906219705939293,0.82875
0.16062699390309199,0.9176785714285715,0.28704575955867767,0.82
0.15516865274735858,0.9289285714285714,0.2886147779226303,0.825
0.1546260402883802,0.9276785714285715,0.28920265674591067,0.83125
0.15266095080545972,0.9308928571428572,0.29070798605680465,0.825625
0.15217703904424396,0.9316071428571429,0.290992796421051,0.81625
0.1583481515305383,0.9185714285714286,0.30035685300827025,0.82625
